time,error
38.3499,0.002420
38.3835,0.102095
38.4170,0.087786
38.4504,0.091265
38.4839,0.086486
38.5168,0.084355
38.5505,0.080732
38.5837,0.065920
38.6171,0.072638
38.6506,0.074505
38.6840,0.069788
38.7180,0.066550
38.7507,0.055769
38.7840,0.051712
38.8174,0.060235
38.8507,0.059082
38.8840,0.054804
38.9177,0.064277
38.9508,0.061924
38.9843,0.074877
39.0179,0.070469
39.0510,0.070701
39.0843,0.073391
39.1178,0.072827
39.1512,0.063363
39.1840,0.057003
39.2179,0.067030
39.2513,0.084982
39.2846,0.079232
39.3179,0.076962
39.3513,0.069975
39.3847,0.072058
39.4182,0.072926
39.4514,0.076143
39.4848,0.063050
39.5181,0.063324
39.5516,0.055968
39.5862,0.070483
39.6184,0.081208
39.6518,0.095512
39.6849,0.084964
39.7188,0.105289
39.7516,0.099707
39.7850,0.075068
39.8186,0.074950
39.8518,0.081761
39.8852,0.082129
39.9185,0.071248
39.9519,0.044884
39.9855,0.059621
40.0188,0.066089
40.0520,0.050966
40.0853,0.056656
40.1185,0.034762
40.1519,0.028690
40.1856,0.046687
40.2187,0.031508
40.2521,0.053977
40.2852,0.046547
40.3194,0.044934
40.3526,0.052760
40.3859,0.062485
40.4188,0.056019
40.4523,0.060459
40.4857,0.037257
40.5191,0.067901
40.5526,0.071356
40.5857,0.069964
40.6191,0.078577
40.6527,0.056615
40.6858,0.052787
40.7188,0.050434
40.7528,0.056248
40.7855,0.048865
40.8196,0.050096
40.8527,0.041605
40.8863,0.039970
40.9196,0.027188
40.9528,0.021808
40.9862,0.021389
41.0196,0.028942
41.0530,0.016960
41.0863,0.027154
41.1196,0.017864
41.1532,0.021799
41.1866,0.021562
41.2198,0.011998
41.2533,0.006691
41.2867,0.006904
41.3199,0.015660
41.3535,0.011648
41.3866,0.015349
41.4201,0.010783
41.4533,0.007669
41.4880,0.005571
41.5199,0.006898
41.5532,0.003889
41.5868,0.014178
41.6207,0.009981
41.6532,0.009975
41.6862,0.006605
41.7198,0.011467
41.7533,0.015621
41.7865,0.003909
41.8199,0.007085
41.8540,0.013231
41.8865,0.010821
41.9199,0.008480
41.9534,0.004261
41.9872,0.003578
42.0204,0.009787
42.0551,0.009840
42.0867,0.008461
42.1200,0.010408
42.1533,0.006015
42.1869,0.004520
42.2203,0.005582
42.2551,0.005388
42.2872,0.007588
42.3208,0.011369
42.3543,0.008516
42.3871,0.004485
42.4223,0.004359
42.4539,0.004656
42.4875,0.006974
42.5208,0.001988
42.5542,0.008068
42.5892,0.011105
42.6207,0.011359
42.6539,0.007586
42.6877,0.006966
42.7212,0.006050
42.7543,0.009821
42.7881,0.006792
42.8211,0.009128
42.8555,0.015916
42.8897,0.009352
42.9226,0.004924
42.9561,0.008162
42.9897,0.008364
43.0223,0.004550
43.0559,0.008970
43.0887,0.013819
43.1227,0.013869
43.1561,0.007831
43.1892,0.010969
43.2226,0.011050
43.2562,0.004217
43.2901,0.005649
43.3229,0.009788
43.3559,0.003335
43.3900,0.003301
43.4236,0.012221
43.4565,0.006062
43.4898,0.007835
43.5232,0.009983
43.5568,0.010270
43.5897,0.005238
43.6242,0.008107
43.6577,0.008358
43.6901,0.005445
43.7237,0.011436
43.7572,0.009709
43.7907,0.006577
43.8249,0.421731
43.8578,0.407782
43.8901,0.416396
43.9238,0.411878
43.9562,0.394450
43.9896,0.383300
44.0239,0.369950
44.0576,0.349703
44.0902,0.332875
44.1235,0.309867
44.1570,0.285509
44.1905,0.262799
44.2245,0.235833
44.2570,0.214019
44.2908,0.177868
44.3247,0.161102
44.3588,0.157163
44.3908,0.133062
44.4253,0.124063
44.4578,0.116336
44.4907,0.092147
44.5255,0.087951
44.5584,0.086141
44.5907,0.070857
44.6256,0.064323
44.6586,0.051606
44.6910,0.048960
44.7251,0.042028
44.7576,0.045163
44.7916,0.037741
44.8248,0.033968
44.8578,0.027602
44.8911,0.022323
44.9245,0.031205
44.9577,0.018064
44.9904,0.016349
45.0239,0.020428
45.0574,0.020993
45.0905,0.019617
45.1244,0.023177
45.1574,0.006337
45.1908,0.016658
45.2233,0.017406
45.2569,0.005131
45.2906,0.009840
45.3239,0.009977
45.3575,0.004339
45.3909,0.004820
45.4239,0.010390
45.4575,0.009012
45.4910,0.010068
45.5241,0.006148
45.5573,0.003761
45.5906,0.010091
45.6246,0.007596
45.6578,0.009074
45.6910,0.018491
45.7246,0.005422
45.7577,0.014128
45.7913,0.004787
45.8241,0.005645
45.8579,0.006745
45.8911,0.013449
45.9244,0.006985
45.9579,0.001560
45.9916,0.007869
46.0247,0.015578
46.0582,0.007440
46.0914,0.010716
46.1247,0.008828
46.1584,0.002506
46.1919,0.016159
46.2250,0.011873
46.2581,0.007586
46.2917,0.012741
46.3250,0.007878
46.3582,0.011255
46.3918,0.011204
46.4250,0.004609
46.4583,0.009463
46.4917,0.004465
46.5250,0.007802
46.5583,0.011147
46.5920,0.012430
46.6245,0.003695
46.6585,0.011303
46.6918,0.008728
46.7254,0.007631
46.7586,0.005402
